Id,FirstName,LastName,Gender,DateOfBirth,PhoneNumber,BirthPlace,IsGraduated,FullName
b600e5f8-689f-41df-bd11-7b02ab07281a,Isabella,Etock,Male,09/22/1991 00:00:00,368-384-9108,57028 Sheridan Center,True,Isabella Etock
250bf2f6-f099-4c77-b9d3-bbf5b0ab3880,Sheila,Foley,Unknown,11/22/1992 00:00:00,996-834-5887,95 Cherokee Alley,False,Sheila Foley
3e92f6ae-abcc-495a-aeee-170b930c479c,Dalton,Mauchline,Male,08/20/1999 00:00:00,466-187-2076,3727 Luster Alley,False,Dalton Mauchline
1bc50428-741f-4af6-829b-dba4f9118953,Kayley,Snaden,Male,05/03/2001 00:00:00,777-420-4051,748 Marcy Drive,True,Kayley Snaden
29bff26a-7024-4acb-8e13-29a37fcade46,Roderich,MacCumeskey,Male,09/18/1994 00:00:00,503-322-2746,7983 Stang Way,False,Roderich MacCumeskey
d1f34033-e6f4-46fc-838f-bb1c18ad8e9c,Kamillah,Tutchings,Female,06/12/1993 00:00:00,838-243-6959,558 Holmberg Junction,True,Kamillah Tutchings
e859d00a-c47b-4550-a78d-c8ad9df9d34d,Judi,Kinchley,Female,06/26/1999 00:00:00,813-699-8525,0076 Ludington Way,False,Judi Kinchley
9b025651-b368-442c-a600-79fb886ddbe4,Kerstin,Mapes,Male,04/02/2001 00:00:00,558-540-7028,9323 Ryan Plaza,False,Kerstin Mapes
dbea58e1-fbc9-4cc1-be6a-5e559b86022b,Purcell,Kees,Female,04/28/1991 00:00:00,784-886-3574,278 Waxwing Road,True,Purcell Kees
5e272005-565b-446e-894b-ac2162996be9,Waylen,Rearden,Unknown,06/01/1992 00:00:00,296-454-4313,46908 Longview Circle,False,Waylen Rearden
96f46f45-247d-48e9-8497-0a7af88632f2,Richmond,Ninnis,Male,01/22/2000 00:00:00,368-581-3184,15 Northport Trail,False,Richmond Ninnis
e8fec9bd-c957-46d2-9386-1e1756f7447e,Carleen,Murden,Unknown,02/23/2002 00:00:00,306-611-3942,85445 Westridge Avenue,False,Carleen Murden
4a600a18-6773-4e79-9031-a469e82ad15e,Sigismund,Gedney,Female,02/14/1993 00:00:00,599-884-4800,360 Mosinee Terrace,True,Sigismund Gedney
d03e6cbe-19ed-4d9d-b4ca-413fdff44db3,Benoite,Chapelhow,Unknown,12/20/1990 00:00:00,567-955-8985,697 Manley Plaza,True,Benoite Chapelhow
91f81d35-7d82-4086-9218-003877700242,Maxie,McGourty,Male,08/15/1993 00:00:00,855-623-7905,1 Bunting Crossing,False,Maxie McGourty
d98c57fe-fbd5-4f59-87f1-67970d6bde84,Raina,Ferenczy,Unknown,09/22/1999 00:00:00,630-259-4932,88858 Heath Drive,True,Raina Ferenczy
6ae18a0b-78d4-42aa-9554-14dabd04cff5,Grace,Trevallion,Female,12/28/1991 00:00:00,708-269-4835,38 Oak Trail,False,Grace Trevallion
d3c98bb4-0bfc-4055-92c7-936988c912c2,Velma,Philipson,Unknown,04/18/1996 00:00:00,443-645-1065,14 Lakewood Gardens Way,False,Velma Philipson
9c00bc03-07ad-4222-b03d-800f54350120,Dasie,Nutkins,Male,07/27/1995 00:00:00,369-398-3875,56 Forest Place,False,Dasie Nutkins
da9c83d1-61a5-47c5-bcaf-ecb8f591f533,Nolan,Glossop,Male,10/08/1998 00:00:00,199-403-7625,724 Bellgrove Trail,False,Nolan Glossop
69f1ba20-d8dc-4c21-86a5-274507919403,Elvin,Aldrin,Male,12/20/1996 00:00:00,625-389-4458,58 Clarendon Pass,False,Elvin Aldrin
efcdbf85-1232-468a-b29a-11749b8e58e5,Erick,Ousbie,Female,09/14/1991 00:00:00,670-140-8309,63954 Independence Lane,False,Erick Ousbie
c68959fd-97e3-469c-a5fc-89597bdf73a8,Emmit,Hobson,Unknown,10/30/2001 00:00:00,573-207-4220,845 Sherman Terrace,False,Emmit Hobson
c9059dbc-6a90-44d9-bbbf-36af825f8eb7,Rhoda,Annice,Unknown,11/02/1999 00:00:00,479-891-9210,67748 Schlimgen Parkway,True,Rhoda Annice
854616e2-2029-4cf4-a5d0-ce1e98803544,Chrystel,McBoyle,Unknown,12/31/1992 00:00:00,135-438-3304,39 Green Ridge Junction,False,Chrystel McBoyle
c287be3d-44eb-44b4-ab03-e79cb5c9cbd6,Gael,Arnecke,Unknown,12/16/1994 00:00:00,958-182-8484,62 Weeping Birch Alley,True,Gael Arnecke
04f23a8e-74c8-4e2e-a1cb-af98ae0c8a22,Lynne,Enns,Male,10/02/1990 00:00:00,840-877-9432,59127 Mesta Circle,True,Lynne Enns
ce9d16f8-0e5f-4b83-8a24-abf2ba05b1a9,Margareta,Gianolo,Unknown,06/26/1990 00:00:00,574-657-7648,76 Eliot Road,False,Margareta Gianolo
989a1e6f-47dc-4572-a3f5-f698146723c5,Mandie,Kesten,Male,01/21/1999 00:00:00,128-654-7942,509 Kennedy Avenue,True,Mandie Kesten
df51e093-4712-4da5-8790-22429bc55769,Allissa,Topes,Unknown,05/18/2001 00:00:00,976-391-2421,433 Maple Point,True,Allissa Topes
4aaa7b3e-e7df-4c7c-9090-aa8f585333f5,Lauri,Fynn,Female,05/23/1999 00:00:00,254-836-9693,5 Del Mar Center,False,Lauri Fynn
39eb1b3c-3127-4e8e-9a37-03ca74c761e6,Pail,Shipway,Male,02/10/1995 00:00:00,109-376-9786,496 Golf Course Plaza,False,Pail Shipway
07fd5e1d-2be9-4ec3-a33b-b9ce37fdb4de,Lara,Batisse,Male,09/21/1992 00:00:00,763-141-7579,48 Forster Road,False,Lara Batisse
59a018df-5785-4814-9fa2-0817b427baa9,Anneliese,Longmaid,Female,04/14/1991 00:00:00,503-621-9635,2 Eagle Crest Terrace,False,Anneliese Longmaid
e25bb83e-8e8c-412d-8070-909227467d59,Reynolds,Tennock,Male,01/19/1993 00:00:00,387-141-7569,103 South Crossing,False,Reynolds Tennock
69616b07-4574-41fa-b2f8-507f49923858,Cherrita,Minguet,Female,12/02/1994 00:00:00,378-384-3970,09609 Northwestern Parkway,False,Cherrita Minguet
3670c9b1-460d-48a4-9624-81d736d5ea53,Nick,Rubenov,Female,07/25/1990 00:00:00,474-532-7664,9417 Bartelt Street,False,Nick Rubenov
6616c9eb-adc8-4a25-a848-58b796918e72,Genevieve,Dartan,Male,02/03/1995 00:00:00,272-939-1499,2444 Morning Lane,True,Genevieve Dartan
50c7ba08-48ad-465f-bdcd-6e589f95b5ef,Homer,Furber,Unknown,11/24/2001 00:00:00,808-637-7400,63048 Prentice Road,False,Homer Furber
217a9303-0310-453e-a777-94f8dfdcb54a,Ophelia,Lavigne,Unknown,07/15/1995 00:00:00,145-135-2158,327 Gulseth Plaza,False,Ophelia Lavigne
d55d1f3f-15ba-41bb-9e2a-a6a0fc35c4a0,Wayland,Kmieciak,Male,06/04/1991 00:00:00,725-636-4738,434 Rowland Circle,False,Wayland Kmieciak
507b5e2e-0381-4934-8f46-23a1b1679957,Wendy,Gurery,Male,11/03/1993 00:00:00,718-276-2087,90748 Pleasure Road,False,Wendy Gurery
e56f4ed9-0e59-4a15-9053-8ac2583e8c57,Gael,Gaskins,Unknown,11/22/1991 00:00:00,478-143-6045,5 Fuller Alley,True,Gael Gaskins
26374e3b-f422-4a17-9c59-4afb1f4ee4c3,Karleen,Baynton,Male,06/17/1995 00:00:00,541-914-1270,5080 Sunfield Drive,False,Karleen Baynton
b9c8c24a-735d-4c90-8b81-ab367a6eee7b,Melva,Poston,Female,05/25/1993 00:00:00,609-558-9387,23 Monument Drive,False,Melva Poston
05a212d0-e340-4866-9714-6ae098d1aabb,Dore,Zappel,Unknown,09/29/1996 00:00:00,659-706-2589,98 Arkansas Center,False,Dore Zappel
33bd9709-c280-42ea-af86-11028fc5f9b9,Wright,Lowdwell,Female,05/16/1991 00:00:00,696-884-1771,79 Butterfield Park,True,Wright Lowdwell
30061b9c-2b44-42d3-9973-3ba52475675a,Lira,Nester,Male,06/07/1999 00:00:00,855-227-3765,5 Drewry Parkway,False,Lira Nester
76935f14-c425-4d5e-9c28-cbf7ac8b1ab0,Romain,Lunam,Male,07/19/1999 00:00:00,262-411-5374,842 Golf Course Avenue,False,Romain Lunam
55308127-ebcb-4aa1-97dc-c6db0caf3c9d,Emmott,Bredes,Female,07/15/1992 00:00:00,304-323-3571,9 Claremont Way,False,Emmott Bredes
aba0e908-9c31-48db-bf77-86122e650484,Raine,Le Frank,Female,09/08/1998 00:00:00,151-290-6026,542 Moose Circle,True,Raine Le Frank
38157706-e31a-47a9-92a9-dc46b713c064,Mireielle,Ballsdon,Female,04/14/1993 00:00:00,905-824-2936,8 Roxbury Hill,False,Mireielle Ballsdon
4390793f-6314-419f-af75-09a041c9da9a,Manny,McIlwraith,Unknown,02/23/1994 00:00:00,242-669-8182,1 Daystar Hill,False,Manny McIlwraith
c46a2dc9-e8c7-4842-948e-1220b011e28e,Maggy,Embleton,Male,09/07/1997 00:00:00,307-822-3451,70 Farragut Drive,False,Maggy Embleton
2e45fcc5-dc4e-4ca9-926b-1c57b4df6972,Wolf,Plumm,Unknown,06/11/2000 00:00:00,301-461-4622,6721 Weeping Birch Place,True,Wolf Plumm
f533dffd-882b-4f1c-b7e7-b9605db032b0,Gratia,McFater,Female,02/22/1991 00:00:00,612-629-8213,271 Orin Point,False,Gratia McFater
5347fcbc-5411-4178-8b45-a81b84a09e90,Marin,Ghidotti,Male,10/31/2000 00:00:00,243-947-8359,218 Welch Circle,True,Marin Ghidotti
6d455105-f1c8-44d2-b9cd-20eb3d884a5f,Daphne,Pine,Male,04/29/1995 00:00:00,664-915-1322,159 Erie Drive,False,Daphne Pine
fb7dd727-7805-45bf-b18b-1660cd4392e0,Jeannette,Dalley,Unknown,12/04/1990 00:00:00,185-318-6136,8 Stang Park,False,Jeannette Dalley
caeea9c9-acfa-4218-bef3-8cb643ca0ceb,Deerdre,McGaugan,Male,08/03/1990 00:00:00,806-871-7987,5168 6th Lane,True,Deerdre McGaugan
b15901ac-9916-4701-a000-9524e4b3cbc9,Ashbey,Tapp,Male,04/13/1998 00:00:00,845-532-9510,35913 Prairie Rose Street,True,Ashbey Tapp
fb812831-a093-4711-ae80-6ec4ce5f6187,Kimberley,Mottini,Female,05/31/1990 00:00:00,629-887-3899,557 Shopko Place,True,Kimberley Mottini
74e4bf6f-0d86-4251-a9c7-69bc80486038,Charyl,Acutt,Male,06/28/1995 00:00:00,421-193-8909,1708 Merrick Center,True,Charyl Acutt
42fe82d7-5983-486b-81c1-036d2183c185,Abigail,Chessun,Male,03/02/2000 00:00:00,534-779-4906,6870 Pearson Center,True,Abigail Chessun
331be4ab-27da-42ab-8101-e8697d49d3e2,Bunnie,McRorie,Female,10/31/1995 00:00:00,761-204-9985,1519 Melrose Trail,False,Bunnie McRorie
a23e0c21-790f-4b68-8cef-28f4c1dcaa33,Tammy,Moye,Female,02/13/1998 00:00:00,826-211-8497,94549 Haas Point,True,Tammy Moye
f0139476-6fea-42c3-ac3c-c3917aab3a1f,Helge,Basini-Gazzi,Male,03/07/1997 00:00:00,118-880-7801,77940 Schiller Place,True,Helge Basini-Gazzi
0917ebf2-f880-4aa9-bb76-4073278f167c,Jessie,Rontree,Male,09/18/2000 00:00:00,786-512-7091,24501 Crest Line Center,False,Jessie Rontree
355f7c55-cb15-48e0-89c5-b052993b3865,Nathalie,Saterweyte,Male,06/29/1991 00:00:00,240-594-9587,54 Vernon Place,True,Nathalie Saterweyte
85eb448c-232e-4143-8b1c-f7c43bee849f,Maisey,D'Emanuele,Female,04/06/1998 00:00:00,234-484-2032,4 Mesta Hill,True,Maisey D'Emanuele
88895dc9-9fdc-4f2c-854d-f3589609f5ae,Ekaterina,Morbey,Unknown,08/16/1998 00:00:00,655-704-3072,59 Clyde Gallagher Parkway,False,Ekaterina Morbey
85aec945-025b-489a-9025-cc6343758494,Rand,Lothlorien,Male,08/19/1996 00:00:00,343-913-5035,2 Helena Hill,False,Rand Lothlorien
6a9644ec-5be1-4a69-a1ab-1789971e3778,Rafi,Tolworthy,Unknown,11/22/1998 00:00:00,668-815-2643,695 Heath Pass,True,Rafi Tolworthy
00ec5003-543e-4eb1-8943-7ff92ab87e59,Marya,Gaitskill,Female,05/01/1994 00:00:00,576-445-4036,137 Huxley Terrace,False,Marya Gaitskill
63805f2b-4038-4853-85bb-22de54395ce0,Sayre,Dundredge,Unknown,02/21/1996 00:00:00,404-849-1318,59713 Armistice Alley,False,Sayre Dundredge
00000000-0000-0000-0000-000000000000,Anallezi,Ramsdell,Unknown,04/01/1999 00:00:00,0967422638,85 Bluejay Road,True,Anallezi Ramsdell
00000000-0000-0000-0000-000000000000,Anabella,Smith,Female,12/01/1990 00:00:00,0967422638,New York,False,Anabella Smith
00000000-0000-0000-0000-000000000000,minh,ngo,Male,11/11/1999 00:00:00,0325932446,Ha Noi,True,minh ngo
